category,tag,domain,source,environment,scenario,file
mass/thin,narrow,mechanical,chainsaw,forest,the whine of a saw in a narrow wood cut,narrow/narrow_mechanical_0234.mp3
mass/thin,narrow,mechanical,piston,workshop,a piston moving in a narrow cylinder,narrow/narrow_mechanical_0235.mp3
mass/thin,narrow,mechanical,solenoid,lab,the click of a relay in a narrow housing,narrow/narrow_mechanical_0236.mp3
mass/thin,narrow,mechanical,razor,barber shop,the buzz of a narrow detailing blade,narrow/narrow_mechanical_0237.mp3
mass/thin,narrow,mechanical,shutter,cinema,light passing through a narrow projector slot,narrow/narrow_mechanical_0238.mp3
mass/thin,narrow,environmental,wind,canyon,wind whistling through a thin rock gap,narrow/narrow_environmental_0239.mp3
mass/thin,narrow,environmental,water,stream,water rushing through a narrow stone crack,narrow/narrow_environmental_0240.mp3
mass/thin,narrow,environmental,geyser,basin,steam escaping through a narrow vent,narrow/narrow_environmental_0241.mp3
mass/thin,narrow,environmental,ice,arctic,the screech of ice sliding through a gap,narrow/narrow_environmental_0242.mp3
mass/thin,narrow,environmental,thunder,field,a sharp thunder crack in a narrow valley,narrow/narrow_environmental_0243.mp3
mass/thin,narrow,environmental,rain,porch,rain falling through a narrow gap in a roof,narrow/narrow_environmental_0244.mp3
mass/thin,narrow,environmental,fire,cabin,a hiss of gas through a narrow log crack,narrow/narrow_environmental_0245.mp3
mass/thin,narrow,environmental,storm,coast,wind whistling through a wire fence gap,narrow/narrow_environmental_0246.mp3
mass/thin,narrow,environmental,volcano,island,gas venting through a narrow fissure,narrow/narrow_environmental_0247.mp3
mass/thin,narrow,environmental,sand,desert,sand trickling through a narrow hourglass,narrow/narrow_environmental_0248.mp3
mass/thin,narrow,environmental,leaves,grove,wind whipping through a narrow bamboo row,narrow/narrow_environmental_0249.mp3
mass/thin,narrow,environmental,thaw,river,water squeezing under a narrow ice shelf,narrow/narrow_environmental_0250.mp3
mass/thin,narrow,environmental,mist,valley,the sound of air through a narrow gorge,narrow/narrow_environmental_0251.mp3
mass/thin,narrow,environmental,roots,woods,the creak of roots in a narrow dirt bank,narrow/narrow_environmental_0252.mp3
mass/thin,narrow,environmental,snow,mountain,wind blowing over a narrow ridge,narrow/narrow_environmental_0253.mp3
mass/thin,narrow,environmental,shale,cliff,rocks sliding down a narrow cliff chute,narrow/narrow_environmental_0254.mp3
mass/thin,narrow,environmental,hail,car roof,hail falling into a narrow metal drain,narrow/narrow_environmental_0255.mp3
mass/thin,narrow,organic,snake,desert,a hiss through a snake's narrow teeth,narrow/narrow_organic_0256.mp3
mass/thin,narrow,organic,bird,orchard,a sharp whistle from a small bird,narrow/narrow_organic_0257.mp3
mass/thin,narrow,organic,human,hall,a whistle through pursed lips in a room,narrow/narrow_organic_0258.mp3
mass/thin,narrow,organic,insect,field,the high-pitched rub of a cricket,narrow/narrow_organic_0259.mp3
mass/thin,narrow,organic,wings,loft,a moth flapping in a narrow window gap,narrow/narrow_organic_0260.mp3
mass/thin,narrow,organic,claws,attic,skittering of a mouse in a narrow wall,narrow/narrow_organic_0261.mp3
mass/thin,narrow,organic,throat,hall,a sharp intake of breath through a throat,narrow/narrow_organic_0262.mp3
mass/thin,narrow,organic,bark,yard,the sharp bark of a small terrier,narrow/narrow_organic_0263.mp3
mass/thin,narrow,organic,beak,farm,a bird pecking a narrow wooden crack,narrow/narrow_organic_0264.mp3
mass/thin,narrow,organic,scales,terrarium,a lizard sliding through a narrow gap,narrow/narrow_organic_0265.mp3
mass/thin,narrow,organic,teeth,room,the sound of air through a gap in teeth,narrow/narrow_organic_0266.mp3
mass/thin,narrow,organic,leaves,forest,a small animal in a narrow leaf pile,narrow/narrow_organic_0267.mp3
mass/thin,narrow,organic,seeds,field,rattle of seeds in a narrow pod,narrow/narrow_organic_0268.mp3
mass/thin,narrow,organic,hooves,pavement,thud of a horse in a narrow alley,narrow/narrow_organic_0269.mp3
mass/thin,narrow,organic,purr,living room,a faint purr through a narrow throat,narrow/narrow_organic_0270.mp3
mass/thin,narrow,organic,voice,library,a whisper through a narrow book gap,narrow/narrow_organic_0271.mp3
mass/thin,narrow,organic,tail,den,a wagging tail hitting a narrow wall,narrow/narrow_organic_0272.mp3
mass/thin,narrow,domestic,key,hallway,turning a key in a narrow lock cylinder,narrow/narrow_domestic_0273.mp3
mass/thin,narrow,domestic,funnel,kitchen,pouring water through a narrow funnel,narrow/narrow_domestic_0274.mp3
mass/thin,narrow,domestic,needle,sewing room,pulling thread through a narrow eye,narrow/narrow_domestic_0275.mp3
mass/thin,narrow,domestic,whistle,field,blowing through a narrow plastic whistle,narrow/narrow_domestic_0276.mp3
mass/thin,narrow,domestic,kettle,kitchen,steam through a narrow kettle spout,narrow/narrow_domestic_0277.mp3
mass/thin,narrow,domestic,vacuum,room,air through a narrow vacuum attachment,narrow/narrow_domestic_0278.mp3
mass/thin,narrow,domestic,blender,kitchen,whir of a blade in a narrow jar,narrow/narrow_domestic_0279.mp3
mass/thin,narrow,domestic,door,house,the squeal of a door through a narrow gap,narrow/narrow_domestic_0280.mp3
mass/thin,narrow,domestic,chair,kitchen,a leg scraping through a narrow space,narrow/narrow_domestic_0281.mp3
mass/thin,narrow,domestic,telephone,hallway,ring from a narrow telephone handset,narrow/narrow_domestic_0282.mp3
mass/thin,narrow,domestic,alarm,bedroom,beep from a narrow digital clock,narrow/narrow_domestic_0283.mp3
mass/thin,narrow,domestic,scissors,shop,blades cutting a narrow strip of paper,narrow/narrow_domestic_0284.mp3
mass/thin,narrow,domestic,stapler,office,firing a staple into a narrow seam,narrow/narrow_domestic_0285.mp3
mass/thin,narrow,domestic,fan,bedroom,air through a narrow window slit,narrow/narrow_domestic_0286.mp3
mass/thin,narrow,domestic,zipper,closet,pulling a narrow metal zipper shut,narrow/narrow_domestic_0287.mp3
mass/thin,narrow,domestic,box,basement,sliding a box through a narrow doorway,narrow/narrow_domestic_0288.mp3
mass/thin,narrow,domestic,pot,kitchen,stirring a narrow pot with a spoon,narrow/narrow_domestic_0289.mp3
mass/thin,narrow,electronic,synthesizer,studio,a narrow pulse wave from an oscillator,narrow/narrow_electronic_0290.mp3
mass/thin,narrow,electronic,feedback,stage,high-pitched feedback through a speaker,narrow/narrow_electronic_0291.mp3
mass/thin,narrow,electronic,radio,car,static from a narrow-band radio signal,narrow/narrow_electronic_0292.mp3
mass/thin,narrow,electronic,intercom,hall,voice through a narrow intercom grill,narrow/narrow_electronic_0293.mp3
mass/thin,narrow,electronic,buzzer,factory,beep from a narrow electronic timer,narrow/narrow_electronic_0294.mp3
mass/thin,narrow,electronic,spark,lab,arc of electricity through a narrow gap,narrow/narrow_electronic_0295.mp3
mass/thin,narrow,electronic,modem,attic,tones through a narrow telephone line,narrow/narrow_electronic_0296.mp3
mass/thin,narrow,electronic,television,shop,whine from a narrow crt monitor,narrow/narrow_electronic_0297.mp3
mass/thin,narrow,electronic,geiger,site,click from a narrow geiger probe,narrow/narrow_electronic_0298.mp3
mass/thin,narrow,electronic,welder,shop,hum from a narrow welding electrode,narrow/narrow_electronic_0299.mp3
mass/thin,narrow,electronic,sonar,submarine,pulse from a narrow sonar beam,narrow/narrow_electronic_0300.mp3
mass/thin,narrow,electronic,laser,lab,whine from a narrow laser cooling fan,narrow/narrow_electronic_0301.mp3
mass/thin,narrow,electronic,clock,bedroom,beep from a narrow alarm speaker,narrow/narrow_electronic_0302.mp3
mass/thin,narrow,electronic,heater,office,whir from a narrow ceramic heater,narrow/narrow_electronic_0303.mp3
mass/thin,narrow,electronic,oven,kitchen,beep from a narrow microwave vent,narrow/narrow_electronic_0304.mp3
mass/thin,narrow,electronic,computer,desk,whir from a narrow cooling vent,narrow/narrow_electronic_0305.mp3
mass/thin,narrow,electronic,sensor,lab,beep from a narrow light sensor,narrow/narrow_electronic_0306.mp3
mass/thin,thin,musical,high e-string,concert hall,plucking a thin high e-string on a violin,thin/thin_musical_0306.mp3
mass/thin,thin,musical,crash cymbal,garage,tapping the edge of a thin crash cymbal,thin/thin_musical_0307.mp3
mass/thin,thin,musical,wooden reed,practice room,blowing through a thin wooden oboe reed,thin/thin_musical_0308.mp3
mass/thin,thin,musical,tin whistle,pub,playing a high note on a thin tin whistle,thin/thin_musical_0309.mp3
mass/thin,thin,musical,drum skin,studio,brushing a thin synthetic drum skin,thin/thin_musical_0310.mp3
mass/thin,thin,musical,metal slide,bedroom,dragging a thin metal slide across acoustic guitar strings,thin/thin_musical_0311.mp3
mass/thin,thin,musical,harp string,parlor,plucking a thin nylon harp string,thin/thin_musical_0312.mp3
mass/thin,thin,musical,glass harmonica bowl,chamber,rubbing the rim of a thin glass harmonica bowl,thin/thin_musical_0313.mp3
mass/thin,thin,musical,wire brush,jazz club,sweeping a thin wire brush across a snare,thin/thin_musical_0314.mp3
mass/thin,thin,musical,guitar pick,stage,strumming with a thin plastic guitar pick,thin/thin_musical_0315.mp3
mass/thin,thin,musical,chime tube,garden,striking a thin aluminum chime tube,thin/thin_musical_0316.mp3
mass/thin,thin,musical,banjo string,porch,snapping a thin banjo string,thin/thin_musical_0317.mp3
mass/thin,thin,musical,music stand,orchestra pit,tapping a thin metal music stand,thin/thin_musical_0318.mp3
mass/thin,thin,musical,triangle wand,auditorium,striking a steel triangle with a thin metal wand,thin/thin_musical_0319.mp3
mass/thin,thin,musical,tambourine jingle,street corner,shaking a thin brass tambourine jingle,thin/thin_musical_0320.mp3
mass/thin,thin,musical,fret wire,luthier shop,filing a thin nickel fret wire,thin/thin_musical_0321.mp3
mass/thin,thin,musical,piano string,church,striking a thin treble piano string,thin/thin_musical_0322.mp3
mass/thin,thin,mechanical,aluminum sheet,factory,wobbling a thin aluminum sheet,thin/thin_mechanical_0323.mp3
mass/thin,thin,mechanical,copper wire,workbench,snipping a thin copper wire,thin/thin_mechanical_0324.mp3
mass/thin,thin,mechanical,razor blade,barbershop,snapping a thin steel razor blade,thin/thin_mechanical_0325.mp3
mass/thin,thin,mechanical,watch gear,desk,spinning a thin brass watch gear,thin/thin_mechanical_0326.mp3
mass/thin,thin,mechanical,metal foil,kitchen,tearing a thin sheet of metal foil,thin/thin_mechanical_0327.mp3
mass/thin,thin,mechanical,fiberglass rod,boat deck,bending a thin fiberglass rod,thin/thin_mechanical_0328.mp3
mass/thin,thin,mechanical,saw blade,woodshop,flexing a thin metal saw blade,thin/thin_mechanical_0329.mp3
mass/thin,thin,mechanical,paperclip,office,bending a thin metal paperclip,thin/thin_mechanical_0330.mp3
mass/thin,thin,mechanical,sewing needle,tailor shop,dropping a thin steel sewing needle,thin/thin_mechanical_0331.mp3
mass/thin,thin,mechanical,fishing line,pier,pulling a thin nylon fishing line tight,thin/thin_mechanical_0332.mp3
mass/thin,thin,mechanical,feeler gauge,garage,sliding a thin metal feeler gauge,thin/thin_mechanical_0333.mp3
mass/thin,thin,mechanical,scalpel blade,hospital,scraping a thin scalpel blade on a steel tray,thin/thin_mechanical_0334.mp3
mass/thin,thin,mechanical,key,locksmith shop,filing the teeth of a thin brass key,thin/thin_mechanical_0335.mp3
mass/thin,thin,mechanical,watch hand,repair bench,handling a thin metal watch hand,thin/thin_mechanical_0336.mp3
mass/thin,thin,mechanical,shim,construction site,tapping a thin wooden shim into place,thin/thin_mechanical_0337.mp3
mass/thin,thin,mechanical,metal washer,concrete floor,dropping a thin metal washer,thin/thin_mechanical_0338.mp3
mass/thin,thin,mechanical,wire spoke,bicycle shop,plucking a thin wire bicycle spoke,thin/thin_mechanical_0339.mp3
mass/thin,thin,environmental,ice crust,frozen puddle,stepping on a thin crust of ice,thin/thin_environmental_0340.mp3
mass/thin,thin,environmental,sheet of mica,canyon,peeling a thin sheet of mica,thin/thin_environmental_0341.mp3
mass/thin,thin,environmental,water trickle,cave,a thin trickle of water hitting a stone,thin/thin_environmental_0342.mp3
mass/thin,thin,environmental,snow crust,field,breaking through a thin layer of snow,thin/thin_environmental_0343.mp3
mass/thin,thin,environmental,layer of sand,rock,wind blowing a thin layer of sand,thin/thin_environmental_0344.mp3
mass/thin,thin,environmental,dry leaf,forest floor,crushing a thin dry leaf,thin/thin_environmental_0345.mp3
mass/thin,thin,environmental,frost pane,windowpane,scraping a thin pane of frost,thin/thin_environmental_0346.mp3
mass/thin,thin,environmental,steam wisp,hot spring,a thin wisp of steam hissing,thin/thin_environmental_0347.mp3
mass/thin,thin,environmental,mud crust,dried lakebed,cracking a thin crust of dried mud,thin/thin_environmental_0348.mp3
mass/thin,thin,environmental,water film,wet road,tires rolling over a thin film of water,thin/thin_environmental_0349.mp3
mass/thin,thin,environmental,breeze,grass,a thin breeze whistling through grass,thin/thin_environmental_0350.mp3
mass/thin,thin,environmental,shale flake,scree slope,a thin flake of shale tumbling,thin/thin_environmental_0351.mp3
mass/thin,thin,environmental,pumice slice,volcano edge,snapping a thin slice of pumice,thin/thin_environmental_0352.mp3
mass/thin,thin,environmental,raindrop,leaf,a thin raindrop hitting a wide leaf,thin/thin_environmental_0353.mp3
mass/thin,thin,environmental,pine needle,trail,snapping a thin dry pine needle,thin/thin_environmental_0354.mp3
mass/thin,thin,environmental,ash layer,campfire,wind disturbing a thin layer of ash,thin/thin_environmental_0355.mp3
mass/thin,thin,environmental,ice stalactite,bridge,snapping a thin ice stalactite,thin/thin_environmental_0356.mp3
mass/thin,thin,organic,snake skin,desert rock,crumpling a thin shed snake skin,thin/thin_organic_0357.mp3
mass/thin,thin,organic,insect wing,porch,the flutter of a thin insect wing,thin/thin_organic_0358.mp3
mass/thin,thin,organic,dry grass,meadow,snapping a thin blade of dry grass,thin/thin_organic_0359.mp3
mass/thin,thin,organic,eggshell,kitchen counter,crushing a thin bird eggshell,thin/thin_organic_0360.mp3
mass/thin,thin,organic,bird bone,beach,snapping a thin hollow bird bone,thin/thin_organic_0361.mp3
mass/thin,thin,organic,feather spine,nest,bending a thin feather spine,thin/thin_organic_0362.mp3
mass/thin,thin,organic,onion skin,cutting board,peeling a thin dry onion skin,thin/thin_organic_0363.mp3
mass/thin,thin,organic,human hair,bathroom,plucking a thin human hair,thin/thin_organic_0364.mp3
mass/thin,thin,organic,fish fin,dock,a thin fish fin slapping the dock,thin/thin_organic_0365.mp3
mass/thin,thin,organic,parchment paper,bakery,crumpling a thin sheet of parchment paper,thin/thin_organic_0366.mp3
mass/thin,thin,organic,cicada husk,tree trunk,crushing a thin cicada husk,thin/thin_organic_0367.mp3
mass/thin,thin,organic,dry reed,swamp,snapping a thin dry reed,thin/thin_organic_0368.mp3
mass/thin,thin,organic,flower petal,garden,tearing a thin flower petal,thin/thin_organic_0369.mp3
mass/thin,thin,organic,spider web,attic,breaking a thin strand of a spider web,thin/thin_organic_0370.mp3
mass/thin,thin,organic,bat wing,cave,a bat flapping a thin leathery wing,thin/thin_organic_0371.mp3
mass/thin,thin,organic,dry bark flake,forest,peeling a thin flake of dry bark,thin/thin_organic_0372.mp3
mass/thin,thin,organic,fingernail,desk,clipping a thin fingernail,thin/thin_organic_0373.mp3
mass/thin,thin,domestic,plastic wrap,kitchen,stretching thin plastic wrap over a bowl,thin/thin_domestic_0374.mp3
mass/thin,thin,domestic,glass pane,window,tapping a thin glass pane,thin/thin_domestic_0375.mp3
mass/thin,thin,domestic,paper towel,dispenser,tearing a thin paper towel,thin/thin_domestic_0376.mp3
mass/thin,thin,domestic,tin foil,countertop,unrolling a thin sheet of tin foil,thin/thin_domestic_0377.mp3
mass/thin,thin,domestic,porcelain teacup,saucer,setting down a thin porcelain teacup,thin/thin_domestic_0378.mp3
mass/thin,thin,domestic,tissue paper,gift box,crumpling thin tissue paper,thin/thin_domestic_0379.mp3
mass/thin,thin,domestic,wine glass,dining room,flicking the rim of a thin wine glass,thin/thin_domestic_0380.mp3
mass/thin,thin,domestic,plastic bag,grocery store,rustling a thin plastic grocery bag,thin/thin_domestic_0381.mp3
mass/thin,thin,domestic,baking sheet,oven,sliding a thin metal baking sheet,thin/thin_domestic_0382.mp3
mass/thin,thin,domestic,napkin,table,unfolding a thin paper napkin,thin/thin_domestic_0383.mp3
mass/thin,thin,domestic,lampshade,living room,tapping a thin paper lampshade,thin/thin_domestic_0384.mp3
mass/thin,thin,domestic,clothing tag,closet,snipping a thin nylon clothing tag,thin/thin_domestic_0385.mp3
mass/thin,thin,domestic,magazine page,waiting room,turning a thin magazine page,thin/thin_domestic_0386.mp3
mass/thin,thin,domestic,shower curtain,bathroom,sliding a thin plastic shower curtain,thin/thin_domestic_0387.mp3
mass/thin,thin,domestic,coffee filter,kitchen,separating a thin paper coffee filter,thin/thin_domestic_0388.mp3
mass/thin,thin,domestic,dental floss,sink,snapping a thin piece of dental floss,thin/thin_domestic_0389.mp3
mass/thin,thin,domestic,plastic lid,tupperware,peeling a thin plastic lid off a container,thin/thin_domestic_0390.mp3
mass/thin,thin,electronic,copper trace,circuit board,scraping a thin copper trace on a circuit board,thin/thin_electronic_0391.mp3
mass/thin,thin,electronic,led pin,workbench,bending a thin metal led pin,thin/thin_electronic_0392.mp3
mass/thin,thin,electronic,silicon wafer,cleanroom,snapping a thin silicon wafer,thin/thin_electronic_0393.mp3
mass/thin,thin,electronic,ribbon cable,computer case,folding a thin plastic ribbon cable,thin/thin_electronic_0394.mp3
mass/thin,thin,electronic,laptop screen,office,tapping a thin laptop screen,thin/thin_electronic_0395.mp3
mass/thin,thin,electronic,solder wire,desk,snipping a thin piece of rosin-core solder,thin/thin_electronic_0396.mp3
mass/thin,thin,electronic,piezo disk,studio,tapping a thin brass piezo disk,thin/thin_electronic_0397.mp3
mass/thin,thin,electronic,cassette tape,car,pulling the thin magnetic tape from a cassette,thin/thin_electronic_0398.mp3
mass/thin,thin,electronic,smartphone glass,sidewalk,shattering a thin sheet of smartphone glass,thin/thin_electronic_0399.mp3
mass/thin,thin,electronic,micro-sd card,table,dropping a thin micro-sd card,thin/thin_electronic_0400.mp3
mass/thin,thin,electronic,speaker membrane,headphones,pushing a thin mylar speaker membrane,thin/thin_electronic_0401.mp3
mass/thin,thin,electronic,insulation wire,electrical box,stripping thin plastic wire insulation,thin/thin_electronic_0402.mp3
mass/thin,thin,electronic,battery contact,remote,bending a thin metal battery contact,thin/thin_electronic_0403.mp3
mass/thin,thin,electronic,usb connector shield,port,scraping a thin usb connector shield,thin/thin_electronic_0404.mp3
mass/thin,thin,electronic,antistatic bag,server room,crinkling a thin antistatic bag,thin/thin_electronic_0405.mp3
mass/thin,thin,electronic,circuit board trace,lab,soldering a thin circuit board trace,thin/thin_electronic_0406.mp3
mass/thin,thin,electronic,lcd panel,monitor,cracking a thin lcd panel,thin/thin_electronic_0407.mp3
mass/thin,empty,musical,cajon,living room,striking an empty wooden cajon,empty/empty_musical_0308.mp3
mass/thin,empty,musical,hollow gourd,patio,shaking an empty hollow gourd,empty/empty_musical_0309.mp3
mass/thin,empty,musical,acoustic guitar body,studio,tapping the back of an empty acoustic guitar body,empty/empty_musical_0310.mp3
mass/thin,empty,musical,bamboo tube,garden,striking an empty bamboo tube,empty/empty_musical_0311.mp3
mass/thin,empty,musical,snare shell,garage,hitting an empty snare drum shell without heads,empty/empty_musical_0312.mp3
mass/thin,empty,musical,chime tube,porch,wind blowing across an empty aluminum chime tube,empty/empty_musical_0313.mp3
mass/thin,empty,musical,violin shell,luthier shop,knocking on an unstrung empty violin shell,empty/empty_musical_0314.mp3
mass/thin,empty,musical,timpani bowl,concert hall,tapping an empty copper timpani bowl,empty/empty_musical_0315.mp3
mass/thin,empty,musical,woodblock,classroom,striking a hollow empty woodblock,empty/empty_musical_0316.mp3
mass/thin,empty,musical,didgeridoo,cave,blowing through an empty wooden didgeridoo,empty/empty_musical_0317.mp3
mass/thin,empty,musical,steel pan,plaza,hitting the inside of an empty steel pan drum,empty/empty_musical_0318.mp3
mass/thin,empty,musical,ocarina,field,blowing across the hole of an empty ocarina,empty/empty_musical_0319.mp3
mass/thin,empty,musical,marimba resonator,stage,tapping an empty metal marimba resonator tube,empty/empty_musical_0320.mp3
mass/thin,empty,musical,bass drum shell,stadium,kicking an empty marching bass drum shell,empty/empty_musical_0321.mp3
mass/thin,empty,musical,slit drum,forest,striking an empty wooden slit drum,empty/empty_musical_0322.mp3
mass/thin,empty,musical,kalimba box,bedroom,tapping the empty wooden box of a kalimba,empty/empty_musical_0323.mp3
mass/thin,empty,musical,jug,porch,blowing over the mouth of an empty glass jug,empty/empty_musical_0324.mp3
mass/thin,empty,mechanical,steel barrel,warehouse,striking an empty steel barrel,empty/empty_mechanical_0325.mp3
mass/thin,empty,mechanical,exhaust pipe,garage,tapping an empty metal exhaust pipe,empty/empty_mechanical_0326.mp3
mass/thin,empty,mechanical,shipping container,dock,slamming the door of an empty shipping container,empty/empty_mechanical_0327.mp3
mass/thin,empty,mechanical,gas cylinder,scrapyard,hitting an empty steel gas cylinder,empty/empty_mechanical_0328.mp3
mass/thin,empty,mechanical,metal buoy,ocean,waves slapping an empty metal buoy,empty/empty_mechanical_0329.mp3
mass/thin,empty,mechanical,tin can,alley,kicking an empty tin can down the street,empty/empty_mechanical_0330.mp3
mass/thin,empty,mechanical,fuel tank,junkyard,knocking on an empty metal fuel tank,empty/empty_mechanical_0331.mp3
mass/thin,empty,mechanical,pvc pipe,construction site,dropping an empty pvc pipe,empty/empty_mechanical_0332.mp3
mass/thin,empty,mechanical,elevator shaft,building,a bolt dropping down an empty elevator shaft,empty/empty_mechanical_0333.mp3
mass/thin,empty,mechanical,water boiler,basement,tapping the side of an empty water boiler,empty/empty_mechanical_0334.mp3
mass/thin,empty,mechanical,metal silo,farm,a rock hitting an empty metal grain silo,empty/empty_mechanical_0335.mp3
mass/thin,empty,mechanical,copper pipe,plumbing trench,striking an empty copper pipe,empty/empty_mechanical_0336.mp3
mass/thin,empty,mechanical,paint can,shed,dropping the lid onto an empty paint can,empty/empty_mechanical_0337.mp3
mass/thin,empty,mechanical,freight car,train yard,walking inside an empty steel freight car,empty/empty_mechanical_0338.mp3
mass/thin,empty,mechanical,dumpster,parking lot,slamming the lid of an empty metal dumpster,empty/empty_mechanical_0339.mp3
mass/thin,empty,mechanical,oil pan,auto shop,dropping a wrench into an empty steel oil pan,empty/empty_mechanical_0340.mp3
mass/thin,empty,mechanical,air compressor tank,garage,tapping an empty air compressor tank,empty/empty_mechanical_0341.mp3
mass/thin,empty,environmental,limestone cave,mountain,a rock falling in an empty limestone cave,empty/empty_environmental_0342.mp3
mass/thin,empty,environmental,hollow log,forest,kicking a hollow empty log,empty/empty_environmental_0343.mp3
mass/thin,empty,environmental,dry riverbed,canyon,wind howling down an empty dry riverbed,empty/empty_environmental_0344.mp3
mass/thin,empty,environmental,ice cave,glacier,water dripping in an empty ice cave,empty/empty_environmental_0345.mp3
mass/thin,empty,environmental,dry well,farm,dropping a stone down an empty dry well,empty/empty_environmental_0346.mp3
mass/thin,empty,environmental,slot canyon,desert,wind rushing through an empty slot canyon,empty/empty_environmental_0347.mp3
mass/thin,empty,environmental,hollow tree trunk,woods,woodpecker knocking on an empty tree trunk,empty/empty_environmental_0348.mp3
mass/thin,empty,environmental,seashell,beach,wind blowing across an empty large seashell,empty/empty_environmental_0349.mp3
mass/thin,empty,environmental,crevasse,glacier,ice falling into an empty deep crevasse,empty/empty_environmental_0350.mp3
mass/thin,empty,environmental,lava tube,volcano,footsteps echoing in an empty lava tube,empty/empty_environmental_0351.mp3
mass/thin,empty,environmental,dry sinkhole,field,rocks tumbling into an empty sinkhole,empty/empty_environmental_0352.mp3
mass/thin,empty,environmental,storm drain,street,water echoing in an empty storm drain,empty/empty_environmental_0353.mp3
mass/thin,empty,environmental,dry gorge,valley,wind whistling through an empty rocky gorge,empty/empty_environmental_0354.mp3
mass/thin,empty,environmental,hollow bamboo grove,jungle,wind rattling an empty hollow bamboo stalk,empty/empty_environmental_0355.mp3
mass/thin,empty,environmental,dry geyser vent,basin,steam hissing from an empty geyser vent,empty/empty_environmental_0356.mp3
mass/thin,empty,environmental,mud flat fissure,desert,pebble falling into an empty mud flat fissure,empty/empty_environmental_0357.mp3
mass/thin,empty,environmental,hollow ice shell,frozen lake,crushing an empty hollow ice shell,empty/empty_environmental_0358.mp3
mass/thin,empty,organic,snail shell,garden,crushing an empty dry snail shell,empty/empty_organic_0359.mp3
mass/thin,empty,organic,bird bone,beach,snapping an empty hollow bird bone,empty/empty_organic_0360.mp3
mass/thin,empty,organic,coconut shell,sand,clapping two empty coconut shells together,empty/empty_organic_0361.mp3
mass/thin,empty,organic,seed pod,prairie,shaking an empty dry seed pod,empty/empty_organic_0362.mp3
mass/thin,empty,organic,tortoise shell,desert,tapping an empty tortoise shell,empty/empty_organic_0363.mp3
mass/thin,empty,organic,conch shell,dock,blowing into an empty conch shell,empty/empty_organic_0364.mp3
mass/thin,empty,organic,hollow reed,riverbank,snapping an empty hollow reed,empty/empty_organic_0365.mp3
mass/thin,empty,organic,dry gourd,porch,cutting open an empty dry gourd,empty/empty_organic_0366.mp3
mass/thin,empty,organic,skull,cave,tapping an empty animal skull,empty/empty_organic_0367.mp3
mass/thin,empty,organic,cicada shell,tree trunk,crushing an empty cicada shell,empty/empty_organic_0368.mp3
mass/thin,empty,organic,crab shell,tide pool,stepping on an empty crab shell,empty/empty_organic_0369.mp3
mass/thin,empty,organic,ostrich egg,savanna,tapping an empty ostrich eggshell,empty/empty_organic_0370.mp3
mass/thin,empty,organic,walnut shell,table,cracking an empty walnut shell,empty/empty_organic_0371.mp3
mass/thin,empty,organic,macadamia shell,kitchen,dropping an empty macadamia shell,empty/empty_organic_0372.mp3
mass/thin,empty,organic,oyster shell,pier,tossing an empty oyster shell,empty/empty_organic_0373.mp3
mass/thin,empty,organic,peanut shell,stadium,crushing an empty peanut shell underfoot,empty/empty_organic_0374.mp3
mass/thin,empty,organic,chrysalis,garden,crushing an empty butterfly chrysalis,empty/empty_organic_0375.mp3
mass/thin,empty,domestic,cardboard box,moving truck,dropping an empty cardboard box,empty/empty_domestic_0376.mp3
mass/thin,empty,domestic,glass jar,pantry,setting down an empty glass jar,empty/empty_domestic_0377.mp3
mass/thin,empty,domestic,plastic jug,kitchen counter,crushing an empty plastic milk jug,empty/empty_domestic_0378.mp3
mass/thin,empty,domestic,coffee tin,kitchen,tapping the bottom of an empty coffee tin,empty/empty_domestic_0379.mp3
mass/thin,empty,domestic,trash can,alley,dropping an empty plastic trash can,empty/empty_domestic_0380.mp3
mass/thin,empty,domestic,suitcase,bedroom,snapping the latches of an empty suitcase,empty/empty_domestic_0381.mp3
mass/thin,empty,domestic,wooden bowl,dining room,dropping a spoon into an empty wooden bowl,empty/empty_domestic_0382.mp3
mass/thin,empty,domestic,water cooler jug,office,thumping an empty water cooler jug,empty/empty_domestic_0383.mp3
mass/thin,empty,domestic,cookie tin,pantry,rattling the lid on an empty cookie tin,empty/empty_domestic_0384.mp3
mass/thin,empty,domestic,aluminum can,recycling bin,crushing an empty aluminum soda can,empty/empty_domestic_0385.mp3
mass/thin,empty,domestic,bathtub,bathroom,dropping a shampoo bottle into an empty bathtub,empty/empty_domestic_0386.mp3
mass/thin,empty,domestic,coffee mug,desk,setting down an empty ceramic coffee mug,empty/empty_domestic_0387.mp3
mass/thin,empty,domestic,wine bottle,counter,blowing across the mouth of an empty wine bottle,empty/empty_domestic_0388.mp3
mass/thin,empty,domestic,cooler,patio,slamming the lid of an empty plastic cooler,empty/empty_domestic_0389.mp3
mass/thin,empty,domestic,laundry basket,hallway,sliding an empty plastic laundry basket,empty/empty_domestic_0390.mp3
mass/thin,empty,domestic,perfume bottle,vanity,tapping an empty glass perfume bottle,empty/empty_domestic_0391.mp3
mass/thin,empty,domestic,shampoo bottle,shower,squeezing air from an empty shampoo bottle,empty/empty_domestic_0392.mp3
mass/thin,empty,electronic,computer tower,desk,tapping an empty steel computer tower,empty/empty_electronic_0393.mp3
